table_schema,table_name,column_name,data_type,column_default,is_nullable,constraint_details,is_primary_key,is_foreign_key,referenced_table,referenced_column
auth,audit_log_entries,created_at,timestamp with time zone,,YES,,NO,NO,,
auth,audit_log_entries,id,uuid,,NO,audit_log_entries_pkey (PRIMARY KEY),YES,NO,,
auth,audit_log_entries,instance_id,uuid,,YES,,NO,NO,,
auth,audit_log_entries,ip_address,character varying,''::character varying,NO,,NO,NO,,
auth,audit_log_entries,payload,json,,YES,,NO,NO,,
auth,flow_state,auth_code,text,,NO,,NO,NO,,
auth,flow_state,auth_code_issued_at,timestamp with time zone,,YES,,NO,NO,,
auth,flow_state,authentication_method,text,,NO,,NO,NO,,
auth,flow_state,code_challenge,text,,NO,,NO,NO,,
auth,flow_state,code_challenge_method,USER-DEFINED,,NO,,NO,NO,,
auth,flow_state,created_at,timestamp with time zone,,YES,,NO,NO,,
auth,flow_state,id,uuid,,NO,flow_state_pkey (PRIMARY KEY),YES,NO,,
auth,flow_state,provider_access_token,text,,YES,,NO,NO,,
auth,flow_state,provider_refresh_token,text,,YES,,NO,NO,,
auth,flow_state,provider_type,text,,NO,,NO,NO,,
auth,flow_state,updated_at,timestamp with time zone,,YES,,NO,NO,,
auth,flow_state,user_id,uuid,,YES,,NO,NO,,
auth,identities,created_at,timestamp with time zone,,YES,,NO,NO,,
auth,identities,email,text,,YES,,NO,NO,,
auth,identities,id,uuid,gen_random_uuid(),NO,identities_pkey (PRIMARY KEY),YES,NO,,
auth,identities,identity_data,jsonb,,NO,,NO,NO,,
auth,identities,last_sign_in_at,timestamp with time zone,,YES,,NO,NO,,
auth,identities,provider,text,,NO,identities_provider_id_provider_unique (UNIQUE),NO,NO,,
auth,identities,provider_id,text,,NO,identities_provider_id_provider_unique (UNIQUE),NO,NO,,
auth,identities,updated_at,timestamp with time zone,,YES,,NO,NO,,
auth,identities,user_id,uuid,,NO,identities_user_id_fkey (FOREIGN KEY),NO,YES,,
auth,instances,created_at,timestamp with time zone,,YES,,NO,NO,,
auth,instances,id,uuid,,NO,instances_pkey (PRIMARY KEY),YES,NO,,
auth,instances,raw_base_config,text,,YES,,NO,NO,,
auth,instances,updated_at,timestamp with time zone,,YES,,NO,NO,,
auth,instances,uuid,uuid,,YES,,NO,NO,,
auth,mfa_amr_claims,authentication_method,text,,NO,mfa_amr_claims_session_id_authentication_method_pkey (UNIQUE),NO,NO,,
auth,mfa_amr_claims,created_at,timestamp with time zone,,NO,,NO,NO,,
auth,mfa_amr_claims,id,uuid,,NO,amr_id_pk (PRIMARY KEY),YES,NO,,
auth,mfa_amr_claims,session_id,uuid,,NO,mfa_amr_claims_session_id_authentication_method_pkey (UNIQUE); mfa_amr_claims_session_id_fkey (FOREIGN KEY),NO,YES,,
auth,mfa_amr_claims,updated_at,timestamp with time zone,,NO,,NO,NO,,
auth,mfa_challenges,created_at,timestamp with time zone,,NO,,NO,NO,,
